지역,지역2,소관부처,상품명,시행기간,상품특징,지원한도,상품설명,금융사,업데이트 일시
경남,전체,경남신용보증재단,2026년 경상남도 비상금 통장 특별보증(자동심사),2026-05-11~9999-12-31,일반상품,1천만원,"[지원대상] 경상남도 내에 업력이 1년 초과하고, 대표자의 개인신용평점이 NICE기준 790점 또는 KCB기준 720점이면서 최근 3개월간 매출합계가 3백만원 이상인 중소기업 
[대출한도] 10백만원
[상환방법] 1년 일시상환, 1년 단위 연장 가능
[보증료]  보증료 연 1%(5년간)
[금융기관] 하나은행
* 심사중 추가서류를 요청할 수 있습니다.",하나은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(농협은행 전용)2026년 하반기 밀양시 소상공인 육성자금,2026-04-29~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 하반기 밀양시 소상공인 육성자금]
-융자규모 : 120억원
-지원대상 : 밀양에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 밀양시에서 2년간 연 2.5%p 이자 지원
                밀양시에서 신용보증수수료 최초 1년분의 80% 지원(보증수수료 선납 후 밀양시에 보증료 지원 신청서 제출 필요)
-상환방법 : 일시상환(2년)
                분할상환(2년 거치 3년 원금균등분할상환)

* 대출금융기관
 - 경남은행 (1) : 밀양지점
 - 농협은행 (2) : 밀양시지부, 삼문동지점
 - 우리은행 (2) : 밀양출장소, 진영지점
 - 새마을금고 (2) : 밀양중앙새마을금고, 밀양새마을금고",농협은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(경남은행 전용)2026년 하반기 밀양시 소상공인 육성자금,2026-04-29~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 하반기 밀양시 소상공인 육성자금]
-융자규모 : 120억원
-지원대상 : 밀양에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 밀양시에서 2년간 연 2.5%p 이자 지원
                밀양시에서 신용보증수수료 최초 1년분의 80% 지원(보증수수료 선납 후 밀양시에 보증료 지원 신청서 제출 필요)
-상환방법 : 일시상환(2년)
                분할상환(2년 거치 3년 원금균등분할상환)

* 대출금융기관
 - 경남은행 (1) : 밀양지점
 - 농협은행 (2) : 밀양시지부, 삼문동지점
 - 우리은행 (2) : 밀양출장소, 진영지점
 - 새마을금고 (2) : 밀양중앙새마을금고, 밀양새마을금고",경남은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(우리은행 전용)2026년 하반기 밀양시 소상공인 육성자금,2026-04-29~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 하반기 밀양시 소상공인 육성자금]
-융자규모 : 120억원
-지원대상 : 밀양에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 밀양시에서 2년간 연 2.5%p 이자 지원
                밀양시에서 신용보증수수료 최초 1년분의 80% 지원(보증수수료 선납 후 밀양시에 보증료 지원 신청서 제출 필요)
-상환방법 : 일시상환(2년)
                분할상환(2년 거치 3년 원금균등분할상환)

* 대출금융기관
 - 경남은행 (1) : 밀양지점
 - 농협은행 (2) : 밀양시지부, 삼문동지점
 - 우리은행 (2) : 밀양출장소, 진영지점
 - 새마을금고 (2) : 밀양중앙새마을금고, 밀양새마을금고",우리은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(새마을금고 전용)2026년 하반기 밀양시 소상공인 육성자금,2026-04-29~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 하반기 밀양시 소상공인 육성자금]
-융자규모 : 120억원
-지원대상 : 밀양에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 밀양시에서 2년간 연 2.5%p 이자 지원
                밀양시에서 신용보증수수료 최초 1년분의 80% 지원(보증수수료 선납 후 밀양시에 보증료 지원 신청서 제출 필요)
-상환방법 : 일시상환(2년)
                분할상환(2년 거치 3년 원금균등분할상환)

* 대출금융기관
 - 경남은행 (1) : 밀양지점
 - 농협은행 (2) : 밀양시지부, 삼문동지점
 - 우리은행 (2) : 밀양출장소, 진영지점
 - 새마을금고 (2) : 밀양중앙새마을금고, 밀양새마을금고",새마을금고,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(농협은행 전용)2026년 양산시 소상공인 육성자금(일반자금),2026-02-04~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",7천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 양산시 소상공인 육성자금]
-융자한도 : 경영안정자금(창업 6개월 이상) 7천만원 이내
                창업자금(창업 6개월 이내) 5천만원 이내
-지원대상 : 양산에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 양산시에서 최대 4년간 연 2.5%p 이자 지원
                양산시에서 신용보증수수료 최초 1년분 전액 지원
-상환방법 : 2년 거치 3년 원금균등분할상환

* 지원 제외대상
-금융보험업, 사치 향락적 소비나 투기를 조장하는 업종
-휴폐업 신고를 하였거나 군수가 사실상 휴폐업 중이라고 인정하는 업체
-국세 및 지방세 체납중인 기업
-경남신용보증재단에서 보증을 제한하는 업종
-&#034;2026년 양산시 소상공인 육성자금&#034; 공고문에서 정한 사항",농협은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(경남은행 전용)2026년 양산시 소상공인 육성자금(일반자금),2026-02-04~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",7천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 양산시 소상공인 육성자금]
-융자한도 : 경영안정자금(창업 6개월 이상) 7천만원 이내
                창업자금(창업 6개월 이내) 5천만원 이내
-지원대상 : 양산에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 양산시에서 최대 4년간 연 2.5%p 이자 지원
                양산시에서 신용보증수수료 최초 1년분 전액 지원
-상환방법 : 2년 거치 3년 원금균등분할상환

* 지원 제외대상
-금융보험업, 사치 향락적 소비나 투기를 조장하는 업종
-휴폐업 신고를 하였거나 군수가 사실상 휴폐업 중이라고 인정하는 업체
-국세 및 지방세 체납중인 기업
-경남신용보증재단에서 보증을 제한하는 업종
-&#034;2026년 양산시 소상공인 육성자금&#034; 공고문에서 정한 사항",경남은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(하나은행 전용)2026년 양산시 소상공인 육성자금(일반자금),2026-02-04~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",7천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 양산시 소상공인 육성자금]
-융자한도 : 경영안정자금(창업 6개월 이상) 7천만원 이내
                창업자금(창업 6개월 이내) 5천만원 이내
-지원대상 : 양산에서 사업자등록을 하고  사업 영위중인 기업
-지원내용 : 양산시에서 최대 4년간 연 2.5%p 이자 지원
                양산시에서 신용보증수수료 최초 1년분 전액 지원
-상환방법 : 2년 거치 3년 원금균등분할상환

* 지원 제외대상
-금융보험업, 사치 향락적 소비나 투기를 조장하는 업종
-휴폐업 신고를 하였거나 군수가 사실상 휴폐업 중이라고 인정하는 업체
-국세 및 지방세 체납중인 기업
-경남신용보증재단에서 보증을 제한하는 업종
-&#034;2026년 양산시 소상공인 육성자금&#034; 공고문에서 정한 사항",하나은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(농협은행 전용)2026년 양산시 소상공인 육성자금(청년창업 특별자금),2026-02-04~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 양산시 소상공인 육성자금(청년창업 특별자금)]
-지원대상 : 양산에서 사업자등록을 하고  사업 영위중인 기업으로 대표자가 만 19세 이상 39세 이하인 창업 2년 이내 소상공인
-지원내용 : 양산시에서 최대 4년간 연 3%p 이자 지원
                양산시에서 신용보증수수료 최초 1년분 전액 지원
-상환방법 : 2년 거치 3년 원금균등분할상환

* 지원 제외대상
-금융보험업, 사치 향락적 소비나 투기를 조장하는 업종
-휴폐업 신고를 하였거나 군수가 사실상 휴폐업 중이라고 인정하는 업체
-국세 및 지방세 체납중인 기업
-경남신용보증재단에서 보증을 제한하는 업종
-&#034;2026년 양산시 소상공인 육성자금&#034; 공고문에서 정한 사항",농협은행,2026-06-17 01:28:10
경남,전체,경남신용보증재단,(경남은행 전용)2026년 양산시 소상공인 육성자금(청년창업 특별자금),2026-02-04~상품소진시까지,"법인가능,정책자금연계가능,보증료지원가능,금리이차보전가능",5천만원,"* 재단에서 심사를 통해 금액이 결정되며 심사결과에 따라 신청금액은 거절 또는 감액 될수 있습니다.

[2026년 양산시 소상공인 육성자금(청년창업 특별자금)]
-지원대상 : 양산에서 사업자등록을 하고  사업 영위중인 기업으로 대표자가 만 19세 이상 39세 이하인 창업 2년 이내 소상공인
-지원내용 : 양산시에서 최대 4년간 연 3%p 이자 지원
                양산시에서 신용보증수수료 최초 1년분 전액 지원
-상환방법 : 2년 거치 3년 원금균등분할상환

* 지원 제외대상
-금융보험업, 사치 향락적 소비나 투기를 조장하는 업종
-휴폐업 신고를 하였거나 군수가 사실상 휴폐업 중이라고 인정하는 업체
-국세 및 지방세 체납중인 기업
-경남신용보증재단에서 보증을 제한하는 업종
-&#034;2026년 양산시 소상공인 육성자금&#034; 공고문에서 정한 사항",경남은행,2026-06-17 01:28:10
